method,config,instance_name,best_obj,avg_obj,mean_runtime,runs
sfc,set1_5types_linear,Correia_Random_4_3_10_1,75410.0,75465.0,10.5194636,10
vanilla,set1_5types_linear,Correia_Random_4_3_10_1,75410.0,75469.0,11.8273488,10
sfc,set1_5types_linear,Correia_Random_4_3_10_10,76190.0,76224.0,9.2232292,10
vanilla,set1_5types_linear,Correia_Random_4_3_10_10,76200.0,76224.0,9.690921399999999,10
sfc,set1_5types_linear,Correia_Random_4_3_10_2,75980.0,76003.0,10.8544009,10
vanilla,set1_5types_linear,Correia_Random_4_3_10_2,75980.0,76028.0,10.6202369,10
sfc,set1_5types_linear,Correia_Random_4_3_10_3,75600.0,75645.0,9.7817236,10
vanilla,set1_5types_linear,Correia_Random_4_3_10_3,75610.0,75647.0,9.9641567,10
sfc,set1_5types_linear,Correia_Random_4_3_10_4,75740.0,75776.0,9.331575,10
vanilla,set1_5types_linear,Correia_Random_4_3_10_4,75750.0,75794.0,10.5400089,10
sfc,set1_5types_linear,Correia_Random_4_3_10_5,76470.0,76494.0,9.753927299999999,10
vanilla,set1_5types_linear,Correia_Random_4_3_10_5,76480.0,76502.0,11.0412122,10
sfc,set1_5types_linear,Correia_Random_4_3_10_6,75860.0,75917.0,9.525601900000002,10
vanilla,set1_5types_linear,Correia_Random_4_3_10_6,75890.0,75920.0,11.7268753,10
sfc,set1_5types_linear,Correia_Random_4_3_10_7,75460.0,75494.0,8.867975900000001,10
vanilla,set1_5types_linear,Correia_Random_4_3_10_7,75440.0,75500.0,11.2209443,10
sfc,set1_5types_linear,Correia_Random_4_3_10_8,76490.0,76529.0,9.3449527,10
vanilla,set1_5types_linear,Correia_Random_4_3_10_8,76490.0,76524.0,11.1536006,10
sfc,set1_5types_linear,Correia_Random_4_3_10_9,75580.0,75614.0,13.031439299999999,10
vanilla,set1_5types_linear,Correia_Random_4_3_10_9,75590.0,75636.0,11.0879336,10
sfc,set1_5types_linear,Correia_Random_4_3_11_1,77290.0,77335.0,10.5354388,10
vanilla,set1_5types_linear,Correia_Random_4_3_11_1,77250.0,77300.0,8.2435064,10
sfc,set1_5types_linear,Correia_Random_4_3_11_10,78340.0,78386.0,11.4021557,10
vanilla,set1_5types_linear,Correia_Random_4_3_11_10,78310.0,78340.0,8.0801505,10
sfc,set1_5types_linear,Correia_Random_4_3_11_2,78240.0,78281.0,10.8014933,10
vanilla,set1_5types_linear,Correia_Random_4_3_11_2,78240.0,78253.0,7.879174999999999,10
sfc,set1_5types_linear,Correia_Random_4_3_11_3,77450.0,77462.0,10.8218272,10
vanilla,set1_5types_linear,Correia_Random_4_3_11_3,77420.0,77447.0,8.4129413,10
sfc,set1_5types_linear,Correia_Random_4_3_11_4,77560.0,77588.0,10.4873032,10
vanilla,set1_5types_linear,Correia_Random_4_3_11_4,77530.0,77552.0,7.877883199999999,10
sfc,set1_5types_linear,Correia_Random_4_3_11_5,78320.0,78353.0,10.677386,10
vanilla,set1_5types_linear,Correia_Random_4_3_11_5,78270.0,78322.0,8.441645900000001,10
