method,config,instance_name,best_obj,avg_obj,mean_runtime,runs
sfc,set1_3types_linear,Correia_Random_4_3_10_1,75530.0,75601.0,8.7164163,10
vanilla,set1_3types_linear,Correia_Random_4_3_10_1,75530.0,75572.0,5.2459493,10
sfc,set1_3types_linear,Correia_Random_4_3_10_10,76240.0,76279.0,8.986375200000001,10
vanilla,set1_3types_linear,Correia_Random_4_3_10_10,76240.0,76264.0,6.257659,10
sfc,set1_3types_linear,Correia_Random_4_3_10_2,76040.0,76063.0,8.570821800000001,10
vanilla,set1_3types_linear,Correia_Random_4_3_10_2,76020.0,76051.0,5.0583036,10
sfc,set1_3types_linear,Correia_Random_4_3_10_3,75660.0,75711.0,6.5537149999999995,10
vanilla,set1_3types_linear,Correia_Random_4_3_10_3,75630.0,75708.0,5.0257103999999995,10
sfc,set1_3types_linear,Correia_Random_4_3_10_4,75810.0,75843.0,9.7362421,10
vanilla,set1_3types_linear,Correia_Random_4_3_10_4,75810.0,75850.0,5.5770539,10
sfc,set1_3types_linear,Correia_Random_4_3_10_5,76530.0,76572.0,9.9700146,10
vanilla,set1_3types_linear,Correia_Random_4_3_10_5,76580.0,76608.0,8.020737200000001,10
sfc,set1_3types_linear,Correia_Random_4_3_10_6,75980.0,76010.0,6.918144699999999,10
vanilla,set1_3types_linear,Correia_Random_4_3_10_6,75940.0,75985.0,5.5808127,10
sfc,set1_3types_linear,Correia_Random_4_3_10_7,75610.0,75659.0,8.5544367,10
vanilla,set1_3types_linear,Correia_Random_4_3_10_7,75600.0,75627.0,5.401862400000001,10
sfc,set1_3types_linear,Correia_Random_4_3_10_8,76590.0,76635.0,10.6404399,10
vanilla,set1_3types_linear,Correia_Random_4_3_10_8,76570.0,76614.0,6.783797099999999,10
sfc,set1_3types_linear,Correia_Random_4_3_10_9,75640.0,75719.0,7.726148,10
vanilla,set1_3types_linear,Correia_Random_4_3_10_9,75700.0,75760.0,4.7725848,10
sfc,set1_3types_linear,Correia_Random_4_3_11_1,78460.0,78564.0,9.3052496,10
vanilla,set1_3types_linear,Correia_Random_4_3_11_1,78350.0,78383.0,6.3018515,10
sfc,set1_3types_linear,Correia_Random_4_3_11_10,79280.0,79377.0,8.806562,10
vanilla,set1_3types_linear,Correia_Random_4_3_11_10,79170.0,79215.0,6.4180773,10
sfc,set1_3types_linear,Correia_Random_4_3_11_2,79130.0,79176.0,9.128347,10
vanilla,set1_3types_linear,Correia_Random_4_3_11_2,79010.0,79052.0,6.431869600000001,10
sfc,set1_3types_linear,Correia_Random_4_3_11_3,78310.0,78387.0,10.1507481,10
vanilla,set1_3types_linear,Correia_Random_4_3_11_3,78220.0,78306.0,6.2497248999999995,10
sfc,set1_3types_linear,Correia_Random_4_3_11_4,78430.0,78520.0,10.860712000000001,10
vanilla,set1_3types_linear,Correia_Random_4_3_11_4,78330.0,78416.0,6.1444779,10
sfc,set1_3types_linear,Correia_Random_4_3_11_5,79370.0,79433.0,8.6131106,10
vanilla,set1_3types_linear,Correia_Random_4_3_11_5,79260.0,79328.0,7.0673534,10
sfc,set1_3types_linear,Correia_Random_4_3_11_6,78750.0,78855.0,10.5643361,10
vanilla,set1_3types_linear,Correia_Random_4_3_11_6,78650.0,78706.0,6.401398500000001,10
sfc,set1_3types_linear,Correia_Random_4_3_11_7,78610.0,78674.0,10.229939400000001,10
vanilla,set1_3types_linear,Correia_Random_4_3_11_7,78480.0,78546.0,7.0917042,10
sfc,set1_3types_linear,Correia_Random_4_3_11_8,79470.0,79521.0,10.8074195,10
vanilla,set1_3types_linear,Correia_Random_4_3_11_8,79300.0,79376.0,6.9902891,10
sfc,set1_3types_linear,Correia_Random_4_3_11_9,78690.0,78743.0,8.5370455,10
vanilla,set1_3types_linear,Correia_Random_4_3_11_9,78560.0,78608.0,6.7177336,10
sfc,set1_3types_linear,Correia_Random_4_3_9_1,75170.0,75194.0,9.3885096,10
vanilla,set1_3types_linear,Correia_Random_4_3_9_1,75150.0,75173.0,5.6985974,10
sfc,set1_3types_linear,Correia_Random_4_3_9_10,75690.0,75740.0,8.4559868,10
